StageAreaKeyT ,transaction_id,product_id,customer_id,transaction_date ,online_order,order_status,brand,product_line ,product_class,product_size ,list_price ,standard_cost,product_first_sold_date
42,42,79,3398,2017-05-14,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.5799999999999,818.00999999999999,2003-09-09
43,43,76,488,2017-03-17,FALSE,Cancelled,WeareA2B,Road,low,small,1172.78,1043.77,2016-03-29
44,44,46,165,2017-12-22,FALSE,Approved,Solex,Standard,low,medium,1289.8499999999999,74.510000000000005,2001-11-25
45,45,55,2787,2017-07-06,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.1900000000001,598.75999999999999,2003-07-21
46,46,66,3053,2017-06-20,FALSE,Approved,Giant Bicycles,Road,low,small,590.25999999999999,525.33000000000004,2010-11-05
47,47,35,475,2017-07-05,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.40000000000001,2008-03-19
48,48,81,1305,2017-10-06,TRUE,Approved,Norco Bicycles,Standard,medium,small,586.45000000000005,521.94000000000005,1991-07-10
49,49,86,1251,2017-06-17,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.06999999999999,2013-06-09
50,50,32,3103,2017-10-05,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.70000000000005,211.37,2003-03-18
51,51,77,3108,2017-03-24,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.6400000000001,108.76000000000001,2007-12-11
52,52,96,857,2017-11-27,FALSE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10
53,53,6,3455,2017-12-21,TRUE,Approved,Solex,Standard,high,medium,748.16999999999996,448.89999999999998,1991-11-10
54,54,27,2549,2017-09-02,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.40000000000001,2010-06-07
55,55,0,3140,2017-09-18,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
56,56,47,3406,2017-11-14,FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.4200000000001,2006-10-01
57,57,94,2294,2017-08-30,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.65999999999997,2013-06-09
58,58,91,1031,2017-11-14,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,1999-07-26
59,59,93,993,2017-02-15,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.1700000000001,874.89999999999998,2006-02-02
60,60,60,3473,2017-12-18,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.3599999999999,1759.8499999999999,2011-08-24
61,61,0,1839,2017-02-24,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
62,62,33,1824,2017-12-18,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.4400000000001,1167.1800000000001,1992-10-11
63,63,35,368,2017-12-17,FALSE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.40000000000001,2008-03-19
64,64,0,2000,2017-08-07,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
65,65,28,825,2017-05-16,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.1400000000001,1082.3599999999999,1991-08-05
66,66,86,3315,2017-02-23,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.06999999999999,2013-06-09
67,67,2,75,2017-03-07,TRUE,Approved,Giant Bicycles,Road,low,small,590.25999999999999,525.33000000000004,2010-11-05
68,68,4,1498,2017-09-30,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.1300000000001,677.48000000000002,2011-04-16
69,69,38,1612,2017-10-21,TRUE,Approved,Solex,Standard,medium,medium,1577.53,826.50999999999999,2011-03-16
70,70,27,2192,2017-06-05,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.40000000000001,2010-06-07
71,71,54,419,2017-03-01,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.8399999999999,13.44,2015-10-18
72,72,77,3307,2017-09-05,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.6400000000001,108.76000000000001,2007-12-11
73,73,22,2430,2017-07-23,FALSE,Approved,Solex,Standard,medium,medium,575.26999999999998,431.44999999999999,1996-04-05
74,74,56,1506,2017-01-21,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86000000000001,137.90000000000001,1991-01-21
75,75,58,1346,2017-06-20,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.51999999999998,141.40000000000001,1993-06-23
76,76,22,927,2017-10-03,FALSE,Approved,Solex,Standard,medium,medium,575.26999999999998,431.44999999999999,1996-04-05
77,77,50,763,2017-02-06,FALSE,Approved,WeareA2B,Standard,medium,small,175.88999999999999,131.91999999999999,2003-02-16
78,78,80,2397,2017-07-11,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.4400000000001,596.54999999999995,2012-05-18
79,79,87,102,2017-12-09,TRUE,Approved,OHM Cycles,Standard,medium,medium,1636.9000000000001,44.710000000000001,2000-05-22
80,80,15,2884,2017-12-16,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74000000000001,748.89999999999998,2005-12-07
81,81,84,759,2017-07-10,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.13999999999999,1993-04-20
82,82,21,773,2017-04-27,TRUE,Approved,Solex,Standard,medium,large,1071.23,380.74000000000001,2011-05-07
83,83,0,3398,2017-01-04,TRUE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
84,84,33,3297,2017-02-11,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.4400000000001,1167.1800000000001,1992-10-11
85,85,84,2434,2017-02-13,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.13999999999999,1993-04-20
86,86,1,1861,2017-07-19,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82000000000005,2012-09-15
87,87,27,1233,2017-05-23,FALSE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.40000000000001,2010-06-07
88,88,31,1390,2017-06-08,FALSE,Approved,WeareA2B,Standard,medium,medium,752.63999999999999,205.36000000000001,2002-03-22
89,89,0,2682,2017-04-04,TRUE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
90,90,62,439,2017-08-15,TRUE,Approved,Solex,Standard,medium,medium,478.16000000000003,298.72000000000003,1993-06-23
91,91,17,1579,2017-04-15,TRUE,Approved,Solex,Standard,high,medium,1024.6600000000001,614.79999999999995,1996-11-09
92,92,73,2984,2017-07-25,TRUE,Approved,Solex,Standard,medium,medium,1945.4300000000001,333.18000000000001,2002-08-31
93,93,33,3470,2017-11-28,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.4400000000001,1167.1800000000001,1992-10-11
94,94,86,1,2017-12-23,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.06999999999999,2013-06-09
95,95,45,757,2017-02-26,FALSE,Approved,Solex,Standard,medium,medium,441.49000000000001,84.989999999999995,2001-11-25
96,96,1,1778,2017-02-21,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82000000000005,2012-09-15
97,97,80,211,2017-05-31,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.4400000000001,596.54999999999995,2012-05-18
98,98,49,333,2017-06-23,,Approved,Trek Bicycles,Road,medium,medium,533.50999999999999,400.13,1997-10-04
99,99,95,32,2017-03-26,FALSE,Approved,Giant Bicycles,Standard,medium,large,569.55999999999995,528.42999999999995,2016-03-29
100,100,0,119,2017-07-31,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
101,101,18,2347,2017-07-27,FALSE,Approved,Solex,Standard,medium,medium,575.26999999999998,431.44999999999999,2013-03-12
102,102,4,2353,2017-04-14,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.1300000000001,677.48000000000002,2011-04-16
103,103,33,788,2017-12-11,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.4400000000001,1167.1800000000001,1992-10-11
104,104,78,1468,2017-12-09,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48000000000002,2004-07-25
105,105,89,821,2017-10-26,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.740000000000002,2016-07-09
106,106,70,2489,2017-02-15,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72000000000003,297.43000000000001,1999-07-26
107,107,79,2710,2017-12-22,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.5799999999999,818.00999999999999,2003-09-09
108,108,26,947,2017-11-10,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.9300000000001,762.63,2016-11-22
109,109,39,1335,2017-03-27,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48000000000002,1997-05-10
110,110,36,1076,2017-04-11,FALSE,Approved,Solex,Standard,low,medium,945.03999999999996,507.57999999999998,1995-12-19
111,111,0,3320,2017-11-06,TRUE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
112,112,84,779,2017-09-10,FALSE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.13999999999999,1993-04-20
113,113,98,3296,2017-07-06,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.38999999999999,215.03,1991-05-06
114,114,75,455,2017-10-24,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95000000000005,2006-05-22
115,115,76,1779,2017-01-05,FALSE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2016-03-29
116,116,72,2703,2017-11-21,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.51999999999998,141.40000000000001,2015-10-18
117,117,42,806,2017-03-24,FALSE,Approved,OHM Cycles,Road,medium,small,1810,1610.9000000000001,2008-03-19
118,118,20,22,2017-03-21,FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.8099999999999,1580.47,1996-04-05
119,119,64,1591,2017-02-20,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.3599999999999,1759.8499999999999,2011-08-24
120,120,0,678,2017-06-16,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
121,121,25,50,2017-04-12,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.64999999999998,1993-05-26
122,122,24,1038,2017-01-12,TRUE,Approved,Solex,Road,medium,large,1777.8,820.77999999999997,2011-05-07
123,123,31,1453,2017-05-03,TRUE,Approved,WeareA2B,Standard,medium,medium,752.63999999999999,205.36000000000001,2002-03-22
124,124,98,1339,2017-03-21,FALSE,Approved,Trek Bicycles,Standard,high,medium,358.38999999999999,215.03,1991-05-06
125,125,22,3382,2017-03-01,TRUE,Approved,Solex,Standard,medium,medium,575.26999999999998,431.44999999999999,1996-04-05
126,126,53,773,2017-01-04,FALSE,Approved,Giant Bicycles,Standard,high,medium,1274.9300000000001,764.96000000000004,2009-03-08
127,127,84,2503,2017-03-16,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.13999999999999,1993-04-20
128,128,25,1057,2017-02-26,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.64999999999998,1993-05-26
129,129,50,1397,2017-05-06,FALSE,Approved,WeareA2B,Standard,medium,small,175.88999999999999,131.91999999999999,2003-02-16
130,130,44,2134,2017-04-09,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.6400000000001,108.76000000000001,2011-05-09
131,131,96,2403,2017-01-18,TRUE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10
132,132,12,1937,2017-09-28,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.1500000000001,161.59999999999999,2010-05-05
133,133,93,1282,2017-02-09,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.1700000000001,874.89999999999998,2006-02-02
134,134,78,2183,2017-09-05,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48000000000002,2004-07-25
135,135,84,1788,2017-10-17,FALSE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.13999999999999,1993-04-20
136,136,65,1170,2017-04-25,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69000000000005,2015-05-21
137,137,0,431,2017-09-23,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
138,138,29,1940,2017-02-08,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2000-11-03
139,139,32,2073,2017-03-25,FALSE,Cancelled,Giant Bicycles,Standard,medium,medium,642.70000000000005,211.37,2003-03-18
140,140,11,462,2017-01-01,FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.8099999999999,1580.47,2014-03-03
141,141,10,2728,2017-12-22,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.6800000000001,363.25,2014-03-03
142,142,46,2053,2017-12-25,FALSE,Approved,Solex,Standard,low,medium,1289.8499999999999,74.510000000000005,2001-11-25
143,143,60,2135,2017-01-26,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.3599999999999,1759.8499999999999,2011-08-24
144,144,92,1217,2017-12-20,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.3599999999999,2002-10-10
145,145,7,2992,2017-07-06,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,234.43000000000001,2003-08-05
146,146,41,3261,2017-06-04,TRUE,Approved,Norco Bicycles,Standard,low,medium,958.74000000000001,748.89999999999998,2005-12-07
147,147,67,2748,2017-04-25,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.04999999999995,376.83999999999997,2005-10-22
148,148,14,3262,2017-01-13,FALSE,Approved,Solex,Standard,high,large,1842.9200000000001,1105.75,1995-10-24
149,149,89,788,2017-03-21,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.740000000000002,2016-07-09
150,150,9,3067,2017-11-21,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.1400000000001,1082.3599999999999,1991-08-05
151,151,31,701,2017-11-11,FALSE,Approved,WeareA2B,Standard,medium,medium,752.63999999999999,205.36000000000001,2002-03-22
152,152,92,648,2017-10-16,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.3599999999999,2002-10-10
153,153,37,3286,2017-08-19,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.4300000000001,248.81999999999999,1999-07-20
154,154,3,3383,2017-06-04,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.4699999999998,388.92000000000002,2012-09-15
155,155,56,982,2017-04-11,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86000000000001,137.90000000000001,1991-01-21
156,156,14,676,2017-08-22,TRUE,Approved,Solex,Standard,high,large,1842.9200000000001,1105.75,1995-10-24
157,157,6,385,2017-09-15,TRUE,Approved,Solex,Standard,high,medium,748.16999999999996,448.89999999999998,1991-11-10
158,158,50,1229,2017-01-03,TRUE,Approved,WeareA2B,Standard,medium,small,175.88999999999999,131.91999999999999,2003-02-16
159,159,10,3232,2017-08-16,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.6800000000001,363.25,2014-03-03
160,160,0,3300,2017-08-27,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
161,161,69,2381,2017-10-07,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.3099999999999,795.10000000000002,2011-01-10
162,162,78,371,2017-11-12,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48000000000002,2004-07-25
163,163,80,2519,2017-05-20,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.4400000000001,596.54999999999995,2012-05-18
164,164,17,2264,2017-07-30,FALSE,Approved,Solex,Standard,high,medium,1024.6600000000001,614.79999999999995,1996-11-09
165,165,3,2637,2017-10-25,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.4699999999998,388.92000000000002,2012-09-15
166,166,78,3262,2017-11-27,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48000000000002,2004-07-25
167,167,90,3177,2017-04-26,,Approved,Norco Bicycles,Standard,low,medium,363.00999999999999,290.41000000000003,2005-05-10
168,168,87,2267,2017-02-02,FALSE,Approved,OHM Cycles,Standard,medium,medium,1636.9000000000001,44.710000000000001,2000-05-22
169,169,97,456,2017-02-05,FALSE,Approved,OHM Cycles,Road,medium,medium,742.53999999999996,667.39999999999998,2014-03-03
170,170,6,404,2017-10-16,,Approved,Solex,Standard,high,medium,748.16999999999996,448.89999999999998,1991-11-10
171,171,100,3121,2017-10-22,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.5899999999999,206.34999999999999,1991-05-06
172,172,55,2365,2017-11-04,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.1900000000001,598.75999999999999,2003-07-21
173,173,100,2528,2017-11-16,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.5899999999999,206.34999999999999,1991-05-06
174,174,10,3151,2017-12-17,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.6800000000001,363.25,2014-03-03
175,175,25,3241,2017-12-23,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.64999999999998,1993-05-26
176,176,74,1335,2017-03-30,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.0699999999999,400.91000000000003,2000-05-22
177,177,90,2234,2017-04-13,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.00999999999999,290.41000000000003,2005-05-10
178,178,56,3226,2017-07-25,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86000000000001,137.90000000000001,1991-01-21
179,179,62,1365,2017-01-31,FALSE,Approved,Solex,Standard,medium,medium,478.16000000000003,298.72000000000003,1993-06-23
180,180,20,3349,2017-03-18,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.8099999999999,1580.47,1996-04-05
181,181,17,1002,2017-02-24,FALSE,Approved,Solex,Standard,high,medium,1024.6600000000001,614.79999999999995,1996-11-09
182,182,16,2282,2017-02-18,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.9200000000001,1479.1099999999999,2010-05-05
183,183,46,2656,2017-07-01,FALSE,Approved,Solex,Standard,low,medium,1289.8499999999999,74.510000000000005,2001-11-25
184,184,71,2409,2017-05-07,TRUE,Approved,Solex,Standard,high,large,1842.9200000000001,1105.75,2016-12-06
185,185,91,1711,2017-11-19,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,1999-07-26
186,186,17,2582,2017-08-11,TRUE,Approved,Solex,Standard,high,medium,1024.6600000000001,614.79999999999995,1996-11-09
187,187,1,1005,2017-07-24,TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82000000000005,2012-09-15
188,188,3,1597,2017-01-15,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.4699999999998,388.92000000000002,2012-09-15
189,189,56,2713,2017-12-01,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86000000000001,137.90000000000001,1991-01-21
190,190,37,1435,2017-11-27,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.4300000000001,248.81999999999999,1999-07-20
191,191,34,1477,2017-06-30,TRUE,Approved,Norco Bicycles,Road,high,large,774.52999999999997,464.72000000000003,2003-03-18
192,192,0,1614,2017-07-15,TRUE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
193,193,12,1254,2017-06-22,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.1500000000001,161.59999999999999,2010-05-05
194,194,25,1423,2017-02-05,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.64999999999998,1993-05-26
195,195,81,276,2017-12-27,FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45000000000005,521.94000000000005,1991-07-10
196,196,19,1315,2017-12-21,TRUE,Approved,OHM Cycles,Road,high,large,12.01,7.21,2009-03-08
197,197,45,591,2017-05-23,TRUE,Approved,Solex,Standard,medium,medium,441.49000000000001,84.989999999999995,2001-11-25
198,198,74,1017,2017-02-02,FALSE,Approved,WeareA2B,Standard,medium,medium,1228.0699999999999,400.91000000000003,2000-05-22
199,199,33,2123,2017-08-06,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.4400000000001,1167.1800000000001,1992-10-11
200,200,57,2889,2017-04-15,TRUE,Approved,WeareA2B,Touring,medium,large,1890.3900000000001,260.13999999999999,1991-01-21
201,201,0,3208,2017-05-09,TRUE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
202,202,23,2406,2017-02-26,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1999-06-23
203,203,67,2041,2017-07-29,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.04999999999995,376.83999999999997,2005-10-22
204,204,81,1598,2017-03-07,TRUE,Approved,Norco Bicycles,Standard,medium,small,586.45000000000005,521.94000000000005,1991-07-10
205,205,58,1842,2017-05-27,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.51999999999998,141.40000000000001,1993-06-23
206,206,5,141,2017-05-05,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.1300000000001,677.48000000000002,2005-08-09
207,207,94,1321,2017-09-09,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.65999999999997,2013-06-09
208,208,51,183,2017-05-21,FALSE,Approved,OHM Cycles,Standard,high,medium,2005.6600000000001,1203.4000000000001,1997-10-04
209,209,59,2591,2017-09-22,FALSE,Approved,Solex,Standard,medium,large,1061.5599999999999,733.58000000000004,1993-07-20
210,210,63,3356,2017-12-04,TRUE,Approved,Solex,Standard,medium,medium,1483.2,99.590000000000003,1998-12-17
211,211,40,766,2017-07-05,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.1900000000001,598.75999999999999,2003-07-21
212,212,80,1596,2017-01-13,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.4400000000001,596.54999999999995,2012-05-18
213,213,82,520,2017-12-14,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.6400000000001,689.17999999999995,2005-05-10
214,214,46,868,2017-03-22,TRUE,Approved,Solex,Standard,low,medium,1289.8499999999999,74.510000000000005,2001-11-25
215,215,78,2999,2017-09-30,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48000000000002,2004-07-25
216,216,72,352,2017-11-29,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.51999999999998,141.40000000000001,2015-10-18
217,217,75,1140,2017-09-06,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95000000000005,2006-05-22
218,218,40,621,2017-04-21,FALSE,Approved,Trek Bicycles,Road,medium,large,1894.1900000000001,598.75999999999999,2003-07-21
